id,prediction.difficulty,nlp.difficulty,sna.difficulty,neural.difficulty,viz.difficulty,loop.difficulty,sql.difficulty
s1,4,5,3,5,3,3,5
s2,5,5,5,5,5,5,5
s3,3,3,3,3,3,3,2
s4,3,4,4,4,4,5,3
s5,4,4,4,5,4,4,4
s6,5,5,5,5,5,5,5
s7,3,4,4,4,4,4,4
s8,4,5,4,4,4,5,4
s9,3,3,2,5,3,4,5
s10,3,5,3,4,4,5,2
s11,4,3,3,3,4,3,4
s12,3,4,4,4,3,5,5
s13,4,5,4,5,4,5,3
s14,4,3,5,5,4,4,3
s15,5,5,5,5,5,5,5
s16,4,4,4,4,3,5,2
s17,5,5,5,5,5,5,5
s18,3,2,2,4,3,4,1
s19,4,5,4,5,5,3,4
s20,3,4,3,5,5,3,3
s21,3,4,4,5,5,4,3
s22,3,4,3,4,3,4,3
s23,5,5,5,5,5,5,5
s24,3,5,4,4,5,4,5
s25,3,5,3,5,4,3,4
s26,4,4,5,4,4,4,3
s27,5,5,5,5,5,5,5
s28,2,3,2,2,3,3,3
s29,5,5,4,5,4,4,5
s30,5,5,5,5,5,5,5
s31,5,5,4,5,,,
s32,4,5,3,5,4,3,2
s33,3,4,4,4,3,3,4
s34,3,4,3,4,5,4,3
s35,5,4,3,5,3,4,2
s36,4,4,3,4,4,5,3
s37,4,3,4,4,4,4,4
s38,4,3,4,4,4,4,4
s39,5,5,5,5,5,5,4
s40,4,5,3,5,5,4,3
s41,4,5,4,5,5,5,3
s42,3,5,3,5,3,3,3
s43,5,5,3,5,5,4,5
s44,3,3,3,3,3,5,4
s45,3,,3,,,3,
s46,3,3,3,3,3,3,3
s47,3,3,3,3,3,3,3
s48,3,4,4,5,4,5,4
s49,5,5,5,5,5,,
s50,5,,5,,5,5,5
s51,3,3,3,3,3,3,2
s52,3,5,5,5,4,3,5
